DOID,hpoid
DOID:0050741,HP:0012416
DOID:0050741,HP:0001332
DOID:0050741,HP:0001260
DOID:0050741,HP:0000211
DOID:0050741,HP:0025406
DOID:0050741,HP:0000738
DOID:0050741,HP:0002014
DOID:0050741,HP:0100963
DOID:0050741,HP:0002791
DOID:0050741,HP:0002018
DOID:0050741,HP:0001279
DOID:0050741,HP:0001824
DOID:0050741,HP:0001324
DOID:0050741,HP:0004324
DOID:0050741,HP:0002186
DOID:0050741,HP:0010702
DOID:0050741,HP:0002381
DOID:0050741,HP:0002487
DOID:0050741,HP:0001252
DOID:0050741,HP:0002315
DOID:0050741,HP:0001281
DOID:0050741,HP:0000952
DOID:0050741,HP:0003470
DOID:0050741,HP:0000961
DOID:0050741,HP:0001681
DOID:0050770,HP:0000093
DOID:0050770,HP:0001520
DOID:0050770,HP:0000952
DOID:0050770,HP:0003418
DOID:0050770,HP:0007209
DOID:0050770,HP:0030157
DOID:0050770,HP:0000103
DOID:0050770,HP:0012378
DOID:0050770,HP:0001336
DOID:0050770,HP:0012592
DOID:0050770,HP:0003419
DOID:0050770,HP:0012531
DOID:0050770,HP:0002013
DOID:0050770,HP:0000957
DOID:0050770,HP:0000365
DOID:0050770,HP:0001945
DOID:0050770,HP:0002027
DOID:0050770,HP:0000969
DOID:0050820,HP:0100749
DOID:0050820,HP:0001279
DOID:0050820,HP:0002321
DOID:0050820,HP:0002094
DOID:0050820,HP:0001324
DOID:0050820,HP:0004324
DOID:0050820,HP:0000575
DOID:0050820,HP:0012378
DOID:0050820,HP:0030148
DOID:0050820,HP:0002105
DOID:0050820,HP:0012735
DOID:0050820,HP:0012531
DOID:0050820,HP:0002013
DOID:0050820,HP:0000961
DOID:0050820,HP:0001789
DOID:0050820,HP:0002018
DOID:0050848,HP:0000093
DOID:0050848,HP:0001609
DOID:0050848,HP:0002321
DOID:0050848,HP:0012417
DOID:0050848,HP:0000575
DOID:0050848,HP:0001336
DOID:0050848,HP:0000103
DOID:0050848,HP:0025267
DOID:0050848,HP:0012592
DOID:0050848,HP:0012735
DOID:0050848,HP:0000618
DOID:0050848,HP:0010550
DOID:0050848,HP:0012416
DOID:0050848,HP:0001332
DOID:0050848,HP:0000017
DOID:0050848,HP:0001260
DOID:0050848,HP:0000020
DOID:0050848,HP:0000211
DOID:0050848,HP:0000969
DOID:0050848,HP:0001605
DOID:0050848,HP:0001249
DOID:0050848,HP:0001513
DOID:0050848,HP:0001250
DOID:0050848,HP:0001257
DOID:0050848,HP:0000738
DOID:0050848,HP:0000405
DOID:0050848,HP:0001251
DOID:0050848,HP:0002791
DOID:0050848,HP:0002018
DOID:0050848,HP:0004326
DOID:0050848,HP:0002094
DOID:0050848,HP:0001279
DOID:0050848,HP:0001824
DOID:0050848,HP:0002203
DOID:0050848,HP:0003202
DOID:0050848,HP:0002829
DOID:0050848,HP:0004324
DOID:0050848,HP:0012378
DOID:0050848,HP:0000616
DOID:0050848,HP:0025502
DOID:0050848,HP:0012531
DOID:0050848,HP:0002487
DOID:0050848,HP:0001252
DOID:0050848,HP:0002315
DOID:0050848,HP:0002104
DOID:0050848,HP:0100749
DOID:0050848,HP:0002020
DOID:0050848,HP:0031258
DOID:0050848,HP:0003470
DOID:0050848,HP:0030148
DOID:0050848,HP:0002445
DOID:0050848,HP:0012196
DOID:0050848,HP:0001254
